dev59_HR,dev60_SpO2,dev60_PI,dev59_PI,dev59_SpO2
81.0,100.0,0.4,6.0,100.0
81.0,100.0,0.4,6.0,100.0
81.0,100.0,0.4,6.0,100.0
81.0,100.0,0.4,6.0,100.0
81.0,100.0,0.4,6.0,100.0
81.0,100.0,0.4,6.0,100.0
81.0,100.0,0.4,6.0,100.0
81.0,100.0,0.4,6.0,100.0
81.0,100.0,0.4,6.0,100.0
80.0,100.0,0.4,7.0,100.0
80.0,100.0,0.4,7.0,100.0
80.0,100.0,0.4,7.0,100.0
80.0,100.0,0.4,7.0,100.0
79.0,100.0,0.4,7.0,99.0
79.0,100.0,0.4,7.0,99.0
79.0,100.0,0.4,7.0,99.0
79.0,100.0,0.4,7.0,99.0
80.0,100.0,0.4,6.0,99.0
80.0,100.0,0.4,6.0,99.0
80.0,100.0,0.4,6.0,99.0
80.0,100.0,0.4,6.0,99.0
80.0,100.0,0.4,8.0,99.0
80.0,100.0,0.4,8.0,99.0
80.0,100.0,0.4,8.0,99.0
80.0,100.0,0.4,8.0,99.0
78.0,100.0,0.4,6.0,98.0
78.0,100.0,0.4,6.0,98.0
78.0,100.0,0.4,6.0,98.0
78.0,100.0,0.4,6.0,98.0
79.0,100.0,0.4,8.0,98.0
79.0,100.0,0.4,8.0,98.0
79.0,100.0,0.4,8.0,98.0
79.0,100.0,0.4,8.0,98.0
79.0,100.0,0.4,8.0,98.0
79.0,100.0,0.4,8.0,98.0
79.0,100.0,0.4,8.0,98.0
81.0,100.0,0.4,10.0,98.0
81.0,100.0,0.4,7.0,98.0
81.0,100.0,0.4,7.0,98.0
81.0,100.0,0.4,7.0,98.0
81.0,100.0,0.4,7.0,98.0
81.0,100.0,0.4,7.0,98.0
81.0,100.0,0.4,7.0,98.0
81.0,100.0,0.4,7.0,98.0
81.0,100.0,0.4,7.0,98.0
82.0,100.0,0.4,5.0,97.0
82.0,100.0,0.4,5.0,97.0
82.0,100.0,0.4,5.0,97.0
82.0,100.0,0.4,5.0,97.0
82.0,100.0,0.4,5.0,96.0
82.0,100.0,0.4,5.0,96.0
82.0,100.0,0.4,5.0,96.0
82.0,100.0,0.4,5.0,96.0
82.0,100.0,0.4,5.0,96.0
82.0,100.0,0.4,5.0,96.0
82.0,100.0,0.4,5.0,96.0
82.0,100.0,0.4,5.0,96.0
83.0,100.0,0.4,5.0,96.0
83.0,100.0,0.4,5.0,96.0
83.0,100.0,0.4,5.0,96.0
83.0,100.0,0.4,5.0,96.0
84.0,100.0,0.4,5.0,96.0
84.0,100.0,0.4,5.0,96.0
84.0,100.0,0.4,5.0,96.0
84.0,100.0,0.4,5.0,96.0
85.0,100.0,0.4,5.0,96.0
85.0,100.0,0.4,5.0,96.0
85.0,100.0,0.4,5.0,96.0
85.0,100.0,0.4,5.0,96.0
85.0,100.0,0.4,5.0,97.0
85.0,100.0,0.4,5.0,97.0
85.0,100.0,0.4,5.0,97.0
85.0,100.0,0.4,5.0,97.0
87.0,100.0,0.4,5.0,97.0
87.0,100.0,0.4,5.0,97.0
87.0,100.0,0.4,5.0,97.0
87.0,100.0,0.4,5.0,97.0
87.0,100.0,0.4,5.0,96.0
87.0,100.0,0.4,5.0,96.0
87.0,100.0,0.4,5.0,96.0
87.0,100.0,0.4,5.0,96.0
88.0,100.0,0.4,5.0,95.0
88.0,100.0,0.4,5.0,95.0
88.0,100.0,0.4,5.0,95.0
88.0,100.0,0.4,5.0,95.0
88.0,100.0,0.4,4.0,95.0
88.0,100.0,0.4,4.0,95.0
88.0,100.0,0.4,4.0,95.0
88.0,100.0,0.4,4.0,95.0
88.0,100.0,0.4,8.0,95.0
88.0,100.0,0.4,8.0,95.0
88.0,100.0,0.4,8.0,95.0
88.0,100.0,0.4,8.0,95.0
88.0,100.0,0.4,5.0,95.0
88.0,100.0,0.4,5.0,95.0
88.0,100.0,0.4,5.0,95.0
88.0,100.0,0.4,5.0,95.0
90.0,100.0,0.4,7.0,96.0
90.0,100.0,0.4,7.0,96.0
90.0,100.0,0.4,7.0,96.0
90.0,100.0,0.4,7.0,96.0
90.0,100.0,0.4,8.0,97.0
90.0,100.0,0.4,8.0,97.0
